Pfam	Header
PF00042	A0A072TK64|reviewed|Anaerobic nitrite reductase Glb1-3|taxID:3880
PF00042	A0A072ULZ1|reviewed|Anaerobic nitrite reductase Glb1-2|taxID:3880
PF00042	A0A0R0HW51|reviewed|Leghemoglobin 5|taxID:3847
PF00042	A1A4Q3|reviewed|Hemoglobin subunit mu|taxID:9913
PF00042	A2XE45|reviewed|Anaerobic nitrite reductase NSHB2|taxID:39946
PF00042	A2XE98|reviewed|Anaerobic nitrite reductase NSHB1|taxID:39946
PF00042	A2XE99|reviewed|Anaerobic nitrite reductase NSHB3|taxID:39946
PF00042	A2XEA0|reviewed|Anaerobic nitrite reductase NSHB4|taxID:39946
PF00042	A2Y6J9|reviewed|Anaerobic nitrite reductase NSHB5|taxID:39946
PF00042	A8XGY6|reviewed|Globin-like protein 9|taxID:6238
PF00042	B0M2T2|reviewed|Hemoglobin subunit alpha|taxID:68455
PF00042	B2KHZ4|reviewed|Hemoglobin subunit beta|taxID:59479
PF00042	B3EWC7|reviewed|Hemoglobin subunit alpha|taxID:123787
PF00042	B3EWC8|reviewed|Hemoglobin subunit beta|taxID:123787
PF00042	B3EWC9|reviewed|Hemoglobin subunit alpha|taxID:34862
PF00042	B3EWD0|reviewed|Hemoglobin subunit beta|taxID:34862
PF00042	B3EWD1|reviewed|Hemoglobin subunit alpha|taxID:30640
PF00042	B3EWD2|reviewed|Hemoglobin subunit beta|taxID:30640
PF00042	B3EWD3|reviewed|Hemoglobin subunit alpha|taxID:144753
PF00042	B3EWD4|reviewed|Hemoglobin subunit beta|taxID:144753
PF00042	B3EWD5|reviewed|Hemoglobin subunit alpha|taxID:42520
PF00042	B3EWD6|reviewed|Hemoglobin subunit beta|taxID:42520
PF00042	B3EWD7|reviewed|Hemoglobin subunit alpha|taxID:10009
PF00042	B3EWD8|reviewed|Hemoglobin subunit beta|taxID:10009
PF00042	B3EWD9|reviewed|Hemoglobin subunit alpha|taxID:45474
PF00042	B3EWE0|reviewed|Hemoglobin subunit beta|taxID:45474
PF00042	B3EWE1|reviewed|Hemoglobin subunit alpha|taxID:9387
PF00042	B3EWE2|reviewed|Hemoglobin subunit beta|taxID:9387
PF00042	B3EWE3|reviewed|Hemoglobin subunit alpha|taxID:10058
PF00042	B3EWE4|reviewed|Hemoglobin subunit beta|taxID:10058
PF00042	B3EWR7|reviewed|Hemoglobin cathodic subunit alpha|taxID:1234705
PF00042	B3EWR8|reviewed|Hemoglobin cathodic subunit beta|taxID:1234705
PF00042	B7U9B5|reviewed|Myoglobin|taxID:9925
PF00042	C0HJE0|reviewed|Hemoglobin subunit alpha|taxID:84099
PF00042	C0HJE1|reviewed|Hemoglobin subunit beta|taxID:84099
PF00042	C0HJQ9|reviewed|Myoglobin|taxID:10137
PF00042	C0HJR0|reviewed|Myoglobin|taxID:9870
PF00042	C0HJT6|reviewed|Hemoglobin subunit beta-1|taxID:100907
PF00042	C0HJT7|reviewed|Hemoglobin subunit beta-2|taxID:100907
PF00042	C0HJT8|reviewed|Hemoglobin subunit alpha|taxID:100907
PF00042	C0HJZ2|reviewed|Hemoglobin subunit alpha|taxID:191813
PF00042	C0HJZ3|reviewed|Hemoglobin subunit beta-1|taxID:191813
PF00042	C0HJZ4|reviewed|Hemoglobin subunit beta-2|taxID:191813
PF00042	C0HJZ5|reviewed|Hemoglobin subunit beta-3|taxID:191813
PF00042	C0HKB7|reviewed|Myoglobin|taxID:55149
PF00042	C6LR75|reviewed|Flavohemoprotein|taxID:598745
PF00042	D0VX08|reviewed|Hemoglobin subunit beta|taxID:132908
PF00042	D0VX09|reviewed|Hemoglobin subunit alpha|taxID:132908
PF00042	E1F8H4|reviewed|Flavohemoprotein-2|taxID:658858
PF00042	E1F8Q4|reviewed|Flavohemoprotein-1|taxID:658858
PF00042	E2RTZ4|reviewed|Flavohemoprotein|taxID:184922
PF00042	G1NJB6|reviewed|Myoglobin|taxID:9103
PF00042	G7KGT0|reviewed|Leghemoglobin 8|taxID:3880
PF00042	I1LJI1|reviewed|Anaerobic nitrite reductase Hb1|taxID:3847
PF00042	I3SPW2|reviewed|Anaerobic nitrite reductase Glb1-1|taxID:3880
PF00042	I3SX86|reviewed|Atypical leghemoglobin 2-1|taxID:34305
PF00042	K7N5M5|reviewed|Hemoglobin subunit alpha 1|taxID:56733
PF00042	K7N5M6|reviewed|Hemoglobin subunit beta-1|taxID:56733
PF00042	O04939|reviewed|Leghemoglobin|taxID:3885
PF00042	O04985|reviewed|Anaerobic nitrite reductase NSHB2|taxID:39947
PF00042	O04986|reviewed|Anaerobic nitrite reductase NSHB1|taxID:39947
PF00042	O09232|reviewed|Hemoglobin subunit beta|taxID:8056
PF00042	O12985|reviewed|Hemoglobin subunit alpha-D|taxID:8932
PF00042	O13071|reviewed|Hemoglobin subunit epsilon|taxID:52231
PF00042	O13077|reviewed|Hemoglobin subunit beta|taxID:8049
PF00042	O13078|reviewed|Hemoglobin subunit beta|taxID:8058
PF00042	O13163|reviewed|Hemoglobin subunit beta|taxID:30991
PF00042	O13164|reviewed|Hemoglobin subunit beta|taxID:58220
PF00042	O24520|reviewed|Anaerobic nitrite reductase AHB1|taxID:3702
PF00042	O24521|reviewed|Anaerobic nitrite reductase AHB2|taxID:3702
PF00042	O42425|reviewed|Hemoglobin subunit alpha-2|taxID:8049
PF00042	O48665|reviewed|Leghemoglobin Lb120-29|taxID:3888
PF00042	O48668|reviewed|Leghemoglobin Lb5-10|taxID:3888
PF00042	O66586|reviewed|Uncharacterized globin-like protein aq_211|taxID:224324
PF00042	O76242|reviewed|Neural hemoglobin|taxID:6221
PF00042	O76243|reviewed|Body wall hemoglobin|taxID:6221
PF00042	O77003|reviewed|Globin|taxID:6526
PF00042	O77655|reviewed|Hemoglobin subunit gamma|taxID:9477
PF00042	O80405|reviewed|Leghemoglobin Lb120-1|taxID:3888
PF00042	O93348|reviewed|Hemoglobin subunit beta-1|taxID:8213
PF00042	O93349|reviewed|Hemoglobin subunit beta|taxID:35730
PF00042	O93351|reviewed|Hemoglobin subunit beta|taxID:36196
PF00042	P01923|reviewed|Hemoglobin subunit alpha|taxID:9595
PF00042	P01924|reviewed|Hemoglobin subunit alpha|taxID:88029
PF00042	P01926|reviewed|Hemoglobin subunit alpha|taxID:9534
PF00042	P01928|reviewed|Hemoglobin subunit alpha|taxID:9515
PF00042	P01929|reviewed|Hemoglobin subunit alpha|taxID:9487
PF00042	P01930|reviewed|Hemoglobin subunit alpha|taxID:164648
PF00042	P01932|reviewed|Hemoglobin subunit alpha|taxID:9565
PF00042	P01933|reviewed|Hemoglobin subunit alpha|taxID:9531
PF00042	P01934|reviewed|Hemoglobin subunit alpha-3|taxID:9595
PF00042	P01935|reviewed|Hemoglobin subunit alpha-3|taxID:9598
PF00042	P01936|reviewed|Hemoglobin subunit alpha|taxID:40322
PF00042	P01937|reviewed|Hemoglobin subunit alpha|taxID:9470
PF00042	P01938|reviewed|Hemoglobin subunit alpha|taxID:9468
PF00042	P01939|reviewed|Hemoglobin subunit alpha-B|taxID:9463
PF00042	P01940|reviewed|Hemoglobin subunit alpha|taxID:9477
PF00042	P01941|reviewed|Hemoglobin subunit alpha|taxID:9395
PF00042	P01942|reviewed|Hemoglobin subunit alpha|taxID:10090
PF00042	P01943|reviewed|Hemoglobin subunit alpha|taxID:30637
PF00042	P01944|reviewed|Hemoglobin subunit alpha|taxID:10060
PF00042	P01945|reviewed|Hemoglobin subunit alpha|taxID:10036
PF00042	P01946|reviewed|Hemoglobin subunit alpha-1/2|taxID:10116
PF00042	P01947|reviewed|Hemoglobin subunit alpha|taxID:10141
PF00042	P01948|reviewed|Hemoglobin subunit alpha-1/2|taxID:9986
PF00042	P01949|reviewed|Hemoglobin subunit alpha|taxID:9365
PF00042	P01950|reviewed|Hemoglobin subunit alpha|taxID:9378
PF00042	P01951|reviewed|Hemoglobin subunit alpha|taxID:9375
PF00042	P01953|reviewed|Hemoglobin subunit alpha|taxID:9662
PF00042	P01954|reviewed|Hemoglobin subunit alpha|taxID:9783
PF00042	P01955|reviewed|Hemoglobin subunit alpha|taxID:9785
PF00042	P01956|reviewed|Hemoglobin subunit alpha|taxID:9407
PF00042	P01957|reviewed|Hemoglobin subunit alpha|taxID:9814
PF00042	P01958|reviewed|Hemoglobin subunit alpha|taxID:9796
PF00042	P01959|reviewed|Hemoglobin subunit alpha|taxID:9793
PF00042	P01960|reviewed|Hemoglobin subunit alpha|taxID:9791
PF00042	P01961|reviewed|Hemoglobin subunit alpha-1/2|taxID:73334
PF00042	P01962|reviewed|Hemoglobin subunit alpha-1/2|taxID:9801
PF00042	P01963|reviewed|Hemoglobin subunit alpha|taxID:9807
PF00042	P01964|reviewed|Hemoglobin subunit alpha|taxID:9361
PF00042	P01965|reviewed|Hemoglobin subunit alpha|taxID:9823
PF00042	P01966|reviewed|Hemoglobin subunit alpha|taxID:9913
PF00042	P01967|reviewed|Hemoglobin subunit alpha-1|taxID:30521
PF00042	P01968|reviewed|Hemoglobin subunit alpha-2|taxID:30521
PF00042	P01969|reviewed|Hemoglobin subunit alpha|taxID:30520
PF00042	P01971|reviewed|Hemoglobin subunit alpha|taxID:9853
PF00042	P01972|reviewed|Hemoglobin subunit alpha-1/2|taxID:9875
PF00042	P01973|reviewed|Hemoglobin subunit alpha|taxID:9844
PF00042	P01975|reviewed|Hemoglobin subunit alpha|taxID:9317
PF00042	P01976|reviewed|Hemoglobin subunit alpha|taxID:9267
PF00042	P01977|reviewed|Hemoglobin subunit alpha-1|taxID:49271
PF00042	P01978|reviewed|Hemoglobin subunit alpha-2|taxID:49271
PF00042	P01979|reviewed|Hemoglobin subunit alpha|taxID:9258
PF00042	P01980|reviewed|Hemoglobin subunit alpha|taxID:9233
PF00042	P01981|reviewed|Hemoglobin subunit alpha-A|taxID:8801
PF00042	P01982|reviewed|Hemoglobin subunit alpha-A|taxID:8797
PF00042	P01983|reviewed|Hemoglobin subunit alpha-A|taxID:8928
PF00042	P01984|reviewed|Hemoglobin subunit alpha-A|taxID:9217
